GENERAL INFO;;;TEAM DETAILS;;;;;;;;;;;;;;DOMESTIC LEAGUE;;;;;;;;EUROPEAN CUPS;;;;;
year;Team;Link;Age;AbroadPlayers;Value;Difference;Year;Country;stadium_capacity;stadium_name;squad_size;top_arrival;top_departure;income_value;expenditure_values;overall_balance;Matches Played;Wins;Draws;Losses;Goals Scored;Goals Against;Goals balance;Points;Competition;D;L;P;W;STAGE
2011.0;AEK Larnaca;/aek-larnaka/startseite/verein/2156/saison_id/2011;26,1;20;€14.90m;€514k;2011;Cyprus;8.000 Seats;AEK Arena - Georgios Karapatakis;33;Free transfer;€320k;€320k;0;+€320k;32.0;13.0;10.0;9.0;40.0;27.0;13.0;49.0;UEFA Europa League;4;3;12;5;Group stage
2015.0;AEK Larnaca;/aek-larnaka/startseite/verein/2156/saison_id/2015;25,5;19;€10.23m;€310k;2015;Cyprus;8.000 Seats;AEK Arena - Georgios Karapatakis;33;Free transfer;€120k;€120k;0;+€120k;36.0;23.0;6.0;7.0;61.0;34.0;27.0;75.0;UEFA Europa League;0;2;2;0;Third qualifying round
2010.0;Anorthosis;/anorthosis-famagusta/startseite/verein/3899/saison_id/2010;25,8;27;€19.45m;€442k;2010;Cyprus;10.230 Seats;Antonis Papadopoulos;44;€180k;€50k;€50k;€480k;€-430k;32.0;16.0;7.0;9.0;51.0;34.0;17.0;55.0;UEFA Europa League;0;4;8;4;Play-off
2012.0;Anorthosis;/anorthosis-famagusta/startseite/verein/3899/saison_id/2012;26,8;21;€16.45m;€514k;2012;Cyprus;10.230 Seats;Antonis Papadopoulos;32;€275k;€300k;€300k;€625k;€-325k;32.0;20.0;8.0;4.0;60.0;29.0;31.0;68.0;UEFA Europa League;0;1;4;3;Third qualifying round
2013.0;Anorthosis;/anorthosis-famagusta/startseite/verein/3899/saison_id/2013;25,7;19;€13.15m;€376k;2013;Cyprus;10.230 Seats;Antonis Papadopoulos;36;€20k;€1.70m;€1.70m;€20k;+€1.68m;36.0;12.0;6.0;18.0;57.0;64.0;#FIELD!;42.0;UEFA Europa League;0;1;2;1;Second qualifying round
2010.0;Dinamo Minsk;/dinamo-minsk/startseite/verein/1180/saison_id/2010;21,9;11;€11.30m;€231k;2010;Belarus;22.246 Seats;Dinamo;49;€95k;€390k;€1.12m;€215k;+€900k;33.0;17.0;5.0;11.0;49.0;34.0;15.0;56.0;UEFA Europa League;0;3;6;3;Play-off
2013.0;Dinamo Minsk;/dinamo-minsk/startseite/verein/1180/saison_id/2013;24,6;12;€13.25m;€390k;2013;Belarus;22.246 Seats;Dinamo;38;€350k;€7k;€7k;€350k;€-343k;32.0;15.0;9.0;8.0;44.0;33.0;11.0;54.0;UEFA Europa League;1;2;6;3;Third qualifying round
2014.0;Dinamo Minsk;/dinamo-minsk/startseite/verein/1180/saison_id/2014;24,5;14;€16.50m;€485k;2014;Belarus;22.246 Seats;Dinamo;41;€200k;Free transfer;0;€200k;€-200k;32.0;18.0;7.0;7.0;44.0;21.0;23.0;61.0;UEFA Europa League;2;4;12;6;Group stage
2015.0;Dinamo Minsk;/dinamo-minsk/startseite/verein/1180/saison_id/2015;25;12;€14.45m;€352k;2015;Belarus;22.246 Seats;Dinamo;49;€59k;€700k;€1.25m;€109k;+€1.14m;26.0;15.0;8.0;3.0;36.0;13.0;23.0;53.0;UEFA Europa League;2;6;12;4;Group stage
2010.0;Dinamo Zagreb;/gnk-dinamo-zagreb/startseite/verein/419/saison_id/2010;23,9;13;€48.95m;€1.32m;2010;Croatia;35.123 Seats;Maksimir;38;€1.50m;€7.00m;€8.01m;€3.80m;+€4.21m;30.0;22.0;6.0;2.0;52.0;12.0;40.0;72.0;UEFA Europa League;1;3;8;4;Group stage
2010.0;Dinamo Zagreb;/gnk-dinamo-zagreb/startseite/verein/419/saison_id/2010;23,9;13;€48.95m;€1.32m;2010;Croatia;35.123 Seats;Maksimir;38;€1.50m;€7.00m;€8.01m;€3.80m;+€4.21m;30.0;22.0;6.0;2.0;52.0;12.0;40.0;72.0;UEFA Champions League;2;1;4;1;Third qualifying round
2011.0;Dinamo Zagreb;/gnk-dinamo-zagreb/startseite/verein/419/saison_id/2011;23,9;13;€50.80m;€1.45m;2011;Croatia;35.123 Seats;Maksimir;35;€1.45m;€300k;€420k;€4.75m;€-4.33m;30.0;23.0;6.0;1.0;73.0;11.0;62.0;75.0;UEFA Champions League;1;7;12;4;Group stage
2012.0;Dinamo Zagreb;/gnk-dinamo-zagreb/startseite/verein/419/saison_id/2012;22,5;11;€48.70m;€1.32m;2012;Croatia;35.123 Seats;Maksimir;37;€2.40m;€11.00m;€20.00m;€4.10m;+€15.90m;33.0;24.0;5.0;4.0;68.0;20.0;48.0;77.0;UEFA Champions League;2;5;12;5;Group stage
2013.0;Dinamo Zagreb;/gnk-dinamo-zagreb/startseite/verein/419/saison_id/2013;21,6;17;€43.90m;€770k;2013;Croatia;35.123 Seats;Maksimir;58;€1.60m;€5.00m;€15.78m;€4.32m;+€11.46m;36.0;26.0;6.0;4.0;83.0;26.0;57.0;84.0;UEFA Europa League;1;5;6;0;Group stage
2013.0;Dinamo Zagreb;/gnk-dinamo-zagreb/startseite/verein/419/saison_id/2013;21,6;17;€43.90m;€770k;2013;Croatia;35.123 Seats;Maksimir;58;€1.60m;€5.00m;€15.78m;€4.32m;+€11.46m;36.0;26.0;6.0;4.0;83.0;26.0;57.0;84.0;UEFA Champions League;0;1;6;5;Play-off
2014.0;Dinamo Zagreb;/gnk-dinamo-zagreb/startseite/verein/419/saison_id/2014;23,2;19;€59.18m;€1.44m;2014;Croatia;35.123 Seats;Maksimir;41;€2.50m;€5.00m;€9.93m;€9.05m;+€880k;36.0;26.0;10.0;0.0;85.0;21.0;64.0;88.0;UEFA Europa League;0;4;8;4;Group stage
2014.0;Dinamo Zagreb;/gnk-dinamo-zagreb/startseite/verein/419/saison_id/2014;23,2;19;€59.18m;€1.44m;2014;Croatia;35.123 Seats;Maksimir;41;€2.50m;€5.00m;€9.93m;€9.05m;+€880k;36.0;26.0;10.0;0.0;85.0;21.0;64.0;88.0;UEFA Champions League;0;1;4;3;Third qualifying round
2015.0;Dinamo Zagreb;/gnk-dinamo-zagreb/startseite/verein/419/saison_id/2015;21,8;19;€54.70m;€1.12m;2015;Croatia;35.123 Seats;Maksimir;49;€5.00m;€7.50m;€13.90m;€9.30m;+€4.61m;36.0;26.0;7.0;3.0;67.0;19.0;48.0;85.0;UEFA Champions League;3;5;12;4;Group stage
2010.0;Hajduk Split;/hnk-hajduk-split/startseite/verein/447/saison_id/2010;21,8;3;€25.20m;€741k;2010;Croatia;34.183 Seats;Poljud;34;€150k;€5.00m;€9.64m;€150k;+€9.49m;30.0;16.0;7.0;7.0;54.0;32.0;22.0;55.0;UEFA Europa League;1;6;10;3;Group stage
2011.0;Hajduk Split;/hnk-hajduk-split/startseite/verein/447/saison_id/2011;21,4;8;€29.48m;€602k;2011;Croatia;34.183 Seats;Poljud;49;€250k;€1.00m;€2.65m;€500k;+€2.15m;30.0;16.0;6.0;8.0;50.0;24.0;26.0;54.0;UEFA Europa League;0;2;2;0;Third qualifying round
2012.0;Hajduk Split;/hnk-hajduk-split/startseite/verein/447/saison_id/2012;20,5;6;€19.55m;€489k;2012;Croatia;34.183 Seats;Poljud;43;€300k;€3.70m;€7.64m;€400k;+€7.24m;33.0;14.0;10.0;9.0;45.0;31.0;14.0;52.0;UEFA Europa League;0;2;4;2;Third qualifying round
2013.0;Hajduk Split;/hnk-hajduk-split/startseite/verein/447/saison_id/2013;20,1;12;€16.25m;€319k;2013;Croatia;34.183 Seats;Poljud;51;Free transfer;€1.00m;€1.22m;0;+€1.22m;36.0;17.0;11.0;8.0;58.0;44.0;14.0;62.0;UEFA Europa League;1;2;4;1;Third qualifying round
2014.0;Hajduk Split;/hnk-hajduk-split/startseite/verein/447/saison_id/2014;21,2;13;€19.80m;€460k;2014;Croatia;34.183 Seats;Poljud;43;Free transfer;€2.50m;€6.09m;0;+€6.09m;36.0;15.0;8.0;13.0;59.0;56.0;3.0;50.0;UEFA Europa League;1;3;6;2;Play-off
2015.0;Hajduk Split;/hnk-hajduk-split/startseite/verein/447/saison_id/2015;21;12;€21.70m;€556k;2015;Croatia;34.183 Seats;Poljud;39;Free transfer;€3.00m;€6.00m;0;+€6.00m;36.0;17.0;10.0;9.0;46.0;28.0;18.0;61.0;UEFA Europa League;1;3;8;4;Play-off
2010.0;Jagiellonia;/jagiellonia-bialystok/startseite/verein/2300/saison_id/2010;23,3;13;€9.28m;€273k;2010;Poland;22.432 Seats;Stadion Miejski;34;€350k;€900k;€1.28m;€783k;+€498k;30.0;14.0;6.0;10.0;38.0;32.0;6.0;48.0;UEFA Europa League;1;1;2;0;Third qualifying round
2011.0;Jagiellonia;/jagiellonia-bialystok/startseite/verein/2300/saison_id/2011;23,6;14;€12.93m;€359k;2011;Poland;22.432 Seats;Stadion Miejski;37;€280k;€1.90m;€2.19m;€650k;+€1.54m;30.0;11.0;6.0;13.0;35.0;45.0;#FIELD!;39.0;UEFA Europa League;0;1;2;1;First qualifying round
2015.0;Jagiellonia;/jagiellonia-bialystok/startseite/verein/2300/saison_id/2015;22,2;8;€13.40m;€327k;2015;Poland;22.432 Seats;Stadion Miejski;41;€250k;€1.00m;€2.70m;€693k;+€2.01m;37.0;13.0;6.0;18.0;46.0;62.0;#FIELD!;28.0;UEFA Europa League;1;1;4;2;Second qualifying round
2012.0;Jagodina;/fk-jagodina/startseite/verein/12132/saison_id/2012;24,4;9;€9.15m;€247k;2012;Serbia;15.000 Seats;Gradski Stadion;40;Free transfer;€235k;€235k;0;+€235k;30.0;15.0;5.0;10.0;35.0;26.0;9.0;50.0;UEFA Europa League;1;1;2;0;First qualifying round
2013.0;Jagodina;/fk-jagodina/startseite/verein/12132/saison_id/2013;23,7;10;€10.05m;€258k;2013;Serbia;15.000 Seats;Gradski Stadion;39;Free transfer;€750k;€950k;0;+€950k;30.0;13.0;9.0;8.0;40.0;30.0;10.0;48.0;UEFA Europa League;0;2;2;0;Second qualifying round
2014.0;Jagodina;/fk-jagodina/startseite/verein/12132/saison_id/2014;22,9;9;€9.10m;€228k;2014;Serbia;15.000 Seats;Gradski Stadion;40;Free transfer;€800k;€800k;0;+€800k;30.0;10.0;5.0;15.0;38.0;45.0;#FIELD!;35.0;UEFA Europa League;1;1;2;0;Second qualifying round
2011.0;Mladá Boleslav;/fk-mlada-boleslav/startseite/verein/5546/saison_id/2011;25;4;€12.15m;€392k;2011;Czech Republic;5.000 Seats;Lokotrans Arena;33;?;€600k;€600k;0;+€600k;30.0;15.0;5.0;10.0;49.0;34.0;15.0;50.0;UEFA Europa League;1;1;2;0;Third qualifying round
2012.0;Mladá Boleslav;/fk-mlada-boleslav/startseite/verein/5546/saison_id/2012;25,6;7;€14.70m;€408k;2012;Czech Republic;5.000 Seats;Lokotrans Arena;37;Free transfer;Free transfer;0;0;0;30.0;10.0;8.0;12.0;34.0;43.0;#FIELD!;38.0;UEFA Europa League;0;2;4;2;Third qualifying round
2014.0;Mladá Boleslav;/fk-mlada-boleslav/startseite/verein/5546/saison_id/2014;24,2;13;€12.28m;€323k;2014;Czech Republic;5.000 Seats;Lokotrans Arena;38;Free transfer;Free transfer;0;0;0;30.0;13.0;7.0;10.0;43.0;34.0;9.0;46.0;UEFA Europa League;0;2;4;2;Third qualifying round
2015.0;Mladá Boleslav;/fk-mlada-boleslav/startseite/verein/5546/saison_id/2015;24,5;7;€13.60m;€358k;2015;Czech Republic;5.000 Seats;Lokotrans Arena;38;Free transfer;€1.70m;€2.50m;0;+€2.50m;30.0;16.0;9.0;5.0;63.0;37.0;26.0;57.0;UEFA Europa League;0;1;2;1;Second qualifying round
2012.0;Naftan;/naftan-novopolotsk/startseite/verein/8563/saison_id/2012;25,9;15;€8.20m;€191k;2012;Belarus;4.522 Seats;Atlant;49;Free transfer;Free transfer;0;0;0;30.0;7.0;8.0;15.0;23.0;40.0;#FIELD!;29.0;UEFA Europa League;1;1;2;0;Second qualifying round
2010.0;OFK Beograd;/ofk-belgrad/startseite/verein/53/saison_id/2010;21,9;6;€11.60m;€322k;2010;Serbia;19.000 Seats;Omladinski Stadion;36;€200k;€650k;€750k;€200k;+€550k;30.0;12.0;6.0;12.0;27.0;26.0;1.0;42.0;UEFA Europa League;2;1;4;1;Third qualifying round
2010.0;Partizan;/fk-partizan-belgrad/startseite/verein/669/saison_id/2010;23,5;9;€32.28m;€872k;2010;Serbia;32.710 Seats;Partizan Stadion;37;€300k;€4.00m;€8.43m;€330k;+€8.10m;33.0;5.0;8.0;20.0;24.0;70.0;#FIELD!;23.0;UEFA Champions League;2;6;12;4;Group stage
2011.0;Rad;/fk-rad-belgrad/startseite/verein/902/saison_id/2011;21,2;4;€11.43m;€309k;2011;Serbia;6.000 Seats;Stadion Kralj Petar Prvi;38;€177k;€708k;€1.41m;€187k;+€1.22m;30.0;8.0;7.0;15.0;22.0;38.0;#FIELD!;31.0;UEFA Europa League;1;1;4;2;Second qualifying round
2010.0;Sparta Praha;/ac-sparta-prag/startseite/verein/197/saison_id/2010;24,6;10;€27.73m;€770k;2010;Czech Republic;18.944 Seats;Generali Arena;36;€1.15m;€4.00m;€8.00m;€1.98m;+€6.02m;30.0;22.0;2.0;6.0;54.0;21.0;33.0;68.0;UEFA Europa League;4;2;8;2;Round of 32
2010.0;Sparta Praha;/ac-sparta-prag/startseite/verein/197/saison_id/2010;24,6;10;€27.73m;€770k;2010;Czech Republic;18.944 Seats;Generali Arena;36;€1.15m;€4.00m;€8.00m;€1.98m;+€6.02m;30.0;22.0;2.0;6.0;54.0;21.0;33.0;68.0;UEFA Champions League;0;2;6;4;Play-off
2011.0;Sparta Praha;/ac-sparta-prag/startseite/verein/197/saison_id/2011;25,1;6;€25.58m;€710k;2011;Czech Republic;18.944 Seats;Generali Arena;36;€600k;€2.00m;€2.48m;€920k;+€1.56m;30.0;20.0;4.0;6.0;51.0;25.0;26.0;64.0;UEFA Europa League;0;1;4;3;Play-off
2012.0;Sparta Praha;/ac-sparta-prag/startseite/verein/197/saison_id/2012;23,8;7;€26.28m;€796k;2012;Czech Republic;18.944 Seats;Generali Arena;34;€800k;€450k;€450k;€1.42m;€-970k;30.0;19.0;6.0;5.0;55.0;23.0;32.0;63.0;UEFA Europa League;6;2;12;4;Round of 32
2013.0;Sparta Praha;/ac-sparta-prag/startseite/verein/197/saison_id/2013;23,8;6;€33.65m;€841k;2013;Czech Republic;18.944 Seats;Generali Arena;42;€1.10m;€3.20m;€4.10m;€1.58m;+€2.52m;30.0;25.0;4.0;1.0;78.0;19.0;59.0;79.0;UEFA Europa League;1;1;2;0;Second qualifying round
2014.0;Sparta Praha;/ac-sparta-prag/startseite/verein/197/saison_id/2014;25,3;8;€34.10m;€1.03m;2014;Czech Republic;18.944 Seats;Generali Arena;39;€100k;€2.00m;€3.00m;€100k;+€2.90m;30.0;21.0;4.0;5.0;57.0;20.0;37.0;67.0;UEFA Europa League;2;2;8;4;Group stage
2014.0;Sparta Praha;/ac-sparta-prag/startseite/verein/197/saison_id/2014;25,3;8;€34.10m;€1.03m;2014;Czech Republic;18.944 Seats;Generali Arena;39;€100k;€2.00m;€3.00m;€100k;+€2.90m;30.0;21.0;4.0;5.0;57.0;20.0;37.0;67.0;UEFA Champions League;1;1;4;2;Third qualifying round
2015.0;Sparta Praha;/ac-sparta-prag/startseite/verein/197/saison_id/2015;25,4;7;€32.73m;€935k;2015;Czech Republic;18.944 Seats;Generali Arena;47;€500k;€3.50m;€4.10m;€1.25m;+€2.85m;30.0;20.0;4.0;6.0;61.0;24.0;37.0;64.0;UEFA Europa League;5;2;14;7;Quarter-finals
2015.0;Sparta Praha;/ac-sparta-prag/startseite/verein/197/saison_id/2015;25,4;7;€32.73m;€935k;2015;Czech Republic;18.944 Seats;Generali Arena;47;€500k;€3.50m;€4.10m;€1.25m;+€2.85m;30.0;20.0;4.0;6.0;61.0;24.0;37.0;64.0;UEFA Champions League;1;1;2;0;Third qualifying round
2011.0;Vojvodina;/fk-vojvodina-novi-sad/startseite/verein/448/saison_id/2011;22,2;15;€22.75m;€615k;2011;Serbia;14.852 Seats;Stadion Karadjordje;37;€200k;€2.00m;€5.20m;€200k;+€5.00m;30.0;14.0;10.0;6.0;44.0;26.0;18.0;52.0;UEFA Europa League;0;1;2;1;Second qualifying round
2012.0;Vojvodina;/fk-vojvodina-novi-sad/startseite/verein/448/saison_id/2012;22,7;15;€19.30m;€522k;2012;Serbia;14.852 Seats;Stadion Karadjordje;37;Free transfer;€1.50m;€2.15m;0;+€2.15m;30.0;17.0;10.0;3.0;40.0;20.0;20.0;61.0;UEFA Europa League;1;1;4;2;Third qualifying round
2013.0;Vojvodina;/fk-vojvodina-novi-sad/startseite/verein/448/saison_id/2013;21,9;16;€17.68m;€347k;2013;Serbia;14.852 Seats;Stadion Karadjordje;52;Free transfer;€200k;€520k;0;+€520k;30.0;11.0;12.0;7.0;38.0;32.0;6.0;45.0;UEFA Europa League;2;1;8;5;Play-off
2014.0;Vojvodina;/fk-vojvodina-novi-sad/startseite/verein/448/saison_id/2014;21,9;8;€8.15m;€220k;2014;Serbia;14.852 Seats;Stadion Karadjordje;37;Free transfer;€1.75m;€4.35m;0;+€4.35m;30.0;16.0;4.0;10.0;44.0;36.0;8.0;52.0;UEFA Europa League;0;1;2;1;Second qualifying round
2015.0;Vojvodina;/fk-vojvodina-novi-sad/startseite/verein/448/saison_id/2015;23,6;7;€12.85m;€313k;2015;Serbia;14.852 Seats;Stadion Karadjordje;41;Free transfer;€1.25m;€3.39m;0;+€3.39m;37.0;16.0;11.0;10.0;57.0;44.0;13.0;36.0;UEFA Europa League;2;3;8;3;Play-off
