StadiumCapacity|StadiumName|SquadSize|TopArrival|TopDeparture|IncomeValue|ExpenditureValues|OverallBalance
10.230 Seats|Antonis Papadopoulos|35|€250k|€250k|€300k|€525k|€-225k
22.859 Seats|GSP Stadium|31|€300k|Free transfer|0|€850k|€-850k
22.859 Seats|GSP Stadium|32|€200k|Free transfer|0|€500k|€-500k
13.331 Seats|Tsirion Stadion|35|€25k|€50k|€50k|€25k|+€25k
13.331 Seats|Tsirion Stadion|27|Free transfer|Free transfer|0|0|0
10.230 Seats|Antonis Papadopoulos|44|€180k|€50k|€50k|€480k|€-430k
22.859 Seats|GSP Stadium|29|Free transfer|Free transfer|0|0|0
13.331 Seats|Tsirion Stadion|42|Free transfer|€50k|€50k|0|+€50k
22.859 Seats|GSP Stadium|28|€700k|Free transfer|0|€873k|€-873k
13.331 Seats|Tsirion Stadion|31|€250k|€800k|€870k|€250k|+€620k
22.859 Seats|GSP Stadium|31|€250k|€300k|€300k|€340k|€-40k
10.230 Seats|Antonis Papadopoulos|37|€300k|Free transfer|0|€450k|€-450k
22.859 Seats|GSP Stadium|30|€230k|Free transfer|0|€380k|€-380k
13.331 Seats|Tsirion Stadion|30|€100k|Free transfer|0|€170k|€-170k
13.331 Seats|Tsirion Stadion|36|Free transfer|Free transfer|0|0|0
22.859 Seats|GSP Stadium|30|€235k|€2.20m|€3.20m|€235k|+€2.97m
10.230 Seats|Antonis Papadopoulos|32|€275k|€300k|€300k|€625k|€-325k
22.859 Seats|GSP Stadium|31|Free transfer|€275k|€275k|0|+€275k
13.331 Seats|Tsirion Stadion|30|Free transfer|Free transfer|0|0|0
13.331 Seats|Tsirion Stadion|38|Free transfer|€50k|€50k|0|+€50k
22.859 Seats|GSP Stadium|36|€225k|Free transfer|0|€415k|€-415k
13.331 Seats|Tsirion Stadion|32|Free transfer|€500k|€1.20m|0|+€1.20m
10.230 Seats|Antonis Papadopoulos|36|€20k|€1.70m|€1.70m|€20k|+€1.68m
13.331 Seats|Tsirion Stadion|31|€500k|Free transfer|0|€500k|€-500k
22.859 Seats|GSP Stadium|41|Free transfer|€200k|€200k|0|+€200k
22.859 Seats|GSP Stadium|36|€500k|Free transfer|0|€575k|€-575k
13.331 Seats|Tsirion Stadion|35|€400k|€1.90m|€1.90m|€400k|+€1.50m
22.859 Seats|GSP Stadium|39|Free transfer|Free transfer|0|0|0
10.230 Seats|Antonis Papadopoulos|30|Free transfer|Free transfer|0|0|0
13.331 Seats|Tsirion Stadion|39|Free transfer|Free transfer|0|0|0
22.859 Seats|GSP Stadium|39|€120k|Free transfer|0|€120k|€-120k
22.859 Seats|GSP Stadium|38|€200k|Free transfer|0|€200k|€-200k
13.331 Seats|Tsirion Stadion|36|€2.50m|€6.60m|€6.60m|€4.50m|+€2.10m
10.230 Seats|Antonis Papadopoulos|30|€200k|€350k|€500k|€400k|+€100k
13.331 Seats|Tsirion Stadion|35|€45k|€75k|€75k|€45k|+€30k
22.859 Seats|GSP Stadium|37|€250k|€3.00m|€3.60m|€370k|+€3.23m
13.331 Seats|Tsirion Stadion|46|Free transfer|Free transfer|0|0|0
22.859 Seats|GSP Stadium|40|Free transfer|€300k|€375k|0|+€375k
10.230 Seats|Antonis Papadopoulos|33|€100k|€600k|€1.15m|€125k|+€1.03m
13.331 Seats|Tsirion Stadion|36|Free transfer|€100k|€100k|0|+€100k
22.859 Seats|GSP Stadium|37|€2.00m|€2.50m|€2.50m|€2.20m|+€300k
13.331 Seats|Tsirion Stadion|39|€25k|€250k|€290k|€25k|+€265k
22.859 Seats|GSP Stadium|39|Free transfer|€100k|€100k|0|+€100k
10.230 Seats|Antonis Papadopoulos|29|Free transfer|€300k|€300k|0|+€300k
13.331 Seats|Tsirion Stadion|34|€40k|Free transfer|0|€40k|€-40k
22.859 Seats|GSP Stadium|43|€300k|€4.50m|€5.18m|€375k|+€4.81m
13.331 Seats|Tsirion Stadion|42|€600k|€450k|€450k|€600k|€-150k
22.859 Seats|GSP Stadium|41|€200k|Free transfer|0|€200k|€-200k
10.230 Seats|Antonis Papadopoulos|41|€600k|Free transfer|0|€725k|€-725k
13.331 Seats|Tsirion Stadion|40|€80k|Free transfer|0|€155k|€-155k
13.126 Seats|Borisov-Arena|34|€180k|€430k|€430k|€180k|+€250k
22.246 Seats|Dinamo|43|Free transfer|Free transfer|0|0|0
4.200 Seats|Stroitel|30|€21k|Free transfer|0|€21k|€-21k
3.000 Seats|Stadion FK Minsk|30|Free transfer|€750|€750|0|+€750
6.524 Seats|Torpedo|47|Free transfer|€60k|€60k|0|+€60k
8.479 Seats|"Tsentralny Sportivny Komplex ""Neman"""|40|Free transfer|€21k|€21k|0|+€21k
13.126 Seats|Borisov-Arena|41|€150k|€300k|€590k|€585k|+€5k
22.246 Seats|Dinamo|49|€95k|€390k|€1.12m|€215k|+€900k
3.000 Seats|Stadion FK Minsk|35|Free transfer|Free transfer|0|0|0
8.479 Seats|"Tsentralny Sportivny Komplex ""Neman"""|35|€50k|Free transfer|0|€50k|€-50k
4.200 Seats|Stroitel|29|€100k|€50k|€50k|€100k|€-50k
6.524 Seats|Torpedo|37|Free transfer|Free transfer|0|0|0
13.126 Seats|Borisov-Arena|44|€500k|€2.80m|€4.30m|€1.07m|+€3.24m
3.000 Seats|Stadion FK Minsk|51|Free transfer|Free transfer|0|0|0
22.246 Seats|Dinamo|45|€380k|€300k|€300k|€715k|€-415k
4.200 Seats|Stroitel|32|€40k|€450k|€450k|€80k|+€370k
8.479 Seats|"Tsentralny Sportivny Komplex ""Neman"""|35|Free transfer|Free transfer|0|0|0
6.524 Seats|Torpedo|40|€10k|Free transfer|0|€10k|€-10k
13.126 Seats|Borisov-Arena|41|€300k|€3.50m|€4.67m|€375k|+€4.30m
22.246 Seats|Dinamo|49|€190k|€1.20m|€1.20m|€435k|+€765k
6.524 Seats|Torpedo|48|Free transfer|€65k|€65k|0|+€65k
4.200 Seats|Stroitel|33|Free transfer|Free transfer|0|0|0
3.000 Seats|Stadion FK Minsk|41|Free transfer|Free transfer|0|0|0
8.479 Seats|"Tsentralny Sportivny Komplex ""Neman"""|36|Free transfer|Free transfer|0|0|0
13.126 Seats|Borisov-Arena|38|€80k|€435k|€1.02m|€191k|+€829k
22.246 Seats|Dinamo|38|€350k|€7k|€7k|€350k|€-343k
4.200 Seats|Stroitel|37|Free transfer|Free transfer|0|0|0
8.479 Seats|"Tsentralny Sportivny Komplex ""Neman"""|37|Free transfer|Free transfer|0|0|0
3.000 Seats|Stadion FK Minsk|43|Free transfer|Free transfer|0|0|0
6.524 Seats|Torpedo|34|Free transfer|Free transfer|0|0|0
13.126 Seats|Borisov-Arena|39|€35k|€1.00m|€1.00m|€35k|+€965k
22.246 Seats|Dinamo|41|€200k|Free transfer|0|€200k|€-200k
4.200 Seats|Stroitel|36|Free transfer|€250k|€250k|0|+€250k
8.479 Seats|"Tsentralny Sportivny Komplex ""Neman"""|41|Free transfer|€60k|€66k|0|+€66k
6.524 Seats|Torpedo|30|Free transfer|Free transfer|0|0|0
3.000 Seats|Stadion FK Minsk|35|Free transfer|Free transfer|0|0|0
13.126 Seats|Borisov-Arena|50|€1.00m|€1.50m|€1.95m|€1.25m|+€700k
22.246 Seats|Dinamo|49|€59k|€700k|€1.25m|€109k|+€1.14m
4.200 Seats|Stroitel|37|€19k|Free transfer|0|€19k|€-19k
6.524 Seats|Torpedo|48|Free transfer|Free transfer|0|0|0
3.000 Seats|Stadion FK Minsk|40|Free transfer|€50k|€50k|0|+€50k
8.479 Seats|"Tsentralny Sportivny Komplex ""Neman"""|39|Free transfer|Free transfer|0|0|0
13.126 Seats|Borisov-Arena|39|€370k|€500k|€528k|€436k|+€93k
22.246 Seats|Dinamo|43|Free transfer|Free transfer|0|0|0
4.200 Seats|Stroitel|40|€28k|€2k|€2k|€47k|€-45k
6.524 Seats|Torpedo|41|Free transfer|Free transfer|0|0|0
8.479 Seats|"Tsentralny Sportivny Komplex ""Neman"""|39|Free transfer|Free transfer|0|0|0
3.000 Seats|Stadion FK Minsk|35|Free transfer|Free transfer|0|0|0
13.126 Seats|Borisov-Arena|40|Free transfer|€100k|€100k|0|+€100k
22.246 Seats|Dinamo|50|Free transfer|Free transfer|0|0|0
4.200 Seats|Stroitel|40|€40k|Free transfer|0|€40k|€-40k
6.524 Seats|Torpedo|45|Free transfer|Free transfer|0|0|0
8.479 Seats|"Tsentralny Sportivny Komplex ""Neman"""|36|Free transfer|€232k|€232k|0|+€232k
3.000 Seats|Stadion FK Minsk|45|Free transfer|€40k|€40k|0|+€40k
13.126 Seats|Borisov-Arena|49|€250k|€1.30m|€1.30m|€626k|+€675k
22.246 Seats|Dinamo|54|Free transfer|Free transfer|0|0|0
4.200 Seats|Stroitel|48|€100k|Free transfer|0|€100k|€-100k
6.524 Seats|Torpedo|44|Free transfer|Free transfer|0|0|0
3.000 Seats|Stadion FK Minsk|45|Free transfer|€88k|€88k|0|+€88k
8.479 Seats|"Tsentralny Sportivny Komplex ""Neman"""|42|Free transfer|€88k|€88k|0|+€88k
22.500 Seats|Tehelné pole|33|€350k|€150k|€150k|€625k|€-475k
11.800 Seats|Pod Dubnom|35|€40k|€900k|€1.05m|€40k|+€1.01m
4.165 Seats|OMS Arena|40|Free transfer|Free transfer|0|0|0
19.200 Seats|City Aréna - Štadión Antona Malatinského|39|Free transfer|€100k|€100k|0|+€100k
5.000 Seats|Štadión pod Čebraťom|37|Free transfer|€100k|€170k|0|+€170k
22.500 Seats|Tehelné pole|34|Free transfer|€1.50m|€1.75m|0|+€1.75m
11.800 Seats|Pod Dubnom|36|€900k|€600k|€1.33m|€1.10m|+€225k
4.165 Seats|OMS Arena|31|Free transfer|Free transfer|0|0|0
19.200 Seats|City Aréna - Štadión Antona Malatinského|34|Free transfer|Free transfer|0|0|0
5.000 Seats|Štadión pod Čebraťom|30|Free transfer|€200k|€200k|0|+€200k
22.500 Seats|Tehelné pole|43|€400k|€630k|€930k|€400k|+€530k
19.200 Seats|City Aréna - Štadión Antona Malatinského|40|Free transfer|€250k|€250k|0|+€250k
11.800 Seats|Pod Dubnom|35|€60k|€150k|€220k|€120k|+€100k
4.165 Seats|OMS Arena|34|Free transfer|Free transfer|0|0|0
5.000 Seats|Štadión pod Čebraťom|40|Free transfer|€500k|€500k|0|+€500k
22.500 Seats|Tehelné pole|32|€150k|€630k|€630k|€150k|+€480k
4.165 Seats|OMS Arena|36|Free transfer|Free transfer|0|0|0
19.200 Seats|City Aréna - Štadión Antona Malatinského|37|€60k|€120k|€120k|€60k|+€60k
11.800 Seats|Pod Dubnom|32|Free transfer|€300k|€300k|0|+€300k
5.000 Seats|Štadión pod Čebraťom|27|?|Free transfer|0|0|0
22.500 Seats|Tehelné pole|37|Free transfer|€480k|€480k|0|+€480k
4.165 Seats|OMS Arena|44|Free transfer|Free transfer|0|0|0
11.800 Seats|Pod Dubnom|37|Free transfer|€26k|€26k|0|+€26k
19.200 Seats|City Aréna - Štadión Antona Malatinského|37|Free transfer|Free transfer|0|0|0
5.000 Seats|Štadión pod Čebraťom|36|Free transfer|Free transfer|0|0|0
22.500 Seats|Tehelné pole|39|€550k|Free transfer|0|€550k|€-550k
19.200 Seats|City Aréna - Štadión Antona Malatinského|41|€5k|€150k|€150k|€5k|+€145k
5.000 Seats|Štadión pod Čebraťom|41|Free transfer|€160k|€160k|0|+€160k
4.165 Seats|OMS Arena|32|Free transfer|€210k|€360k|0|+€360k
11.800 Seats|Pod Dubnom|30|Free transfer|Free transfer|0|0|0
22.500 Seats|Tehelné pole|45|€100k|Free transfer|0|€100k|€-100k
19.200 Seats|City Aréna - Štadión Antona Malatinského|41|Free transfer|€700k|€850k|0|+€850k
11.800 Seats|Pod Dubnom|36|€350k|€5.20m|€7.00m|€350k|+€6.65m
5.000 Seats|Štadión pod Čebraťom|30|Free transfer|Free transfer|0|0|0
4.165 Seats|OMS Arena|38|Free transfer|Free transfer|0|0|0
22.500 Seats|Tehelné pole|39|Free transfer|€200k|€220k|0|+€220k
11.800 Seats|Pod Dubnom|36|€160k|€2.00m|€2.00m|€310k|+€1.69m
5.000 Seats|Štadión pod Čebraťom|32|Free transfer|Free transfer|0|0|0
19.200 Seats|City Aréna - Štadión Antona Malatinského|35|Free transfer|€50k|€50k|0|+€50k
4.165 Seats|OMS Arena|46|Free transfer|Free transfer|0|0|0
22.500 Seats|Tehelné pole|45|€1.00m|€1.65m|€1.71m|€3.05m|€-1.34m
11.800 Seats|Pod Dubnom|42|Free transfer|€1.50m|€3.50m|0|+€3.50m
19.200 Seats|City Aréna - Štadión Antona Malatinského|32|Free transfer|€1.00m|€1.50m|0|+€1.50m
5.000 Seats|Štadión pod Čebraťom|35|€120k|Free transfer|0|€120k|€-120k
4.165 Seats|OMS Arena|44|€150k|€30k|€30k|€150k|€-120k
22.500 Seats|Tehelné pole|36|Free transfer|€50k|€50k|0|+€50k
19.200 Seats|City Aréna - Štadión Antona Malatinského|53|€13k|€750k|€880k|€13k|+€868k
11.800 Seats|Pod Dubnom|38|€250k|€3.80m|€5.30m|€250k|+€5.05m
5.000 Seats|Štadión pod Čebraťom|33|Free transfer|Free transfer|0|0|0
4.165 Seats|OMS Arena|41|Free transfer|Free transfer|0|0|0
6.250 Seats|Hikvision arena|38|Free transfer|€30k|€30k|0|+€30k
5.067 Seats|LFF stadionas|27|€30k|Free transfer|0|€30k|€-30k
6.250 Seats|Hikvision arena|35|€15k|Free transfer|0|€15k|€-15k
5.067 Seats|LFF stadionas|29|Free transfer|€90k|€170k|0|+€170k
5.067 Seats|LFF stadionas|24|€12k|€30k|€30k|€12k|+€18k
6.250 Seats|Hikvision arena|36|Free transfer|€12k|€12k|0|+€12k
5.067 Seats|LFF stadionas|33|Free transfer|€120k|€130k|0|+€130k
6.250 Seats|Hikvision arena|38|Free transfer|€250k|€250k|0|+€250k
5.067 Seats|LFF stadionas|38|€4k|€40k|€40k|0|+€40k
6.250 Seats|Hikvision arena|34|Free transfer|Free transfer|0|0|0
5.067 Seats|LFF stadionas|38|Free transfer|€175k|€330k|€4k|+€326k
6.250 Seats|Hikvision arena|29|Free transfer|Free transfer|0|0|0
5.067 Seats|LFF stadionas|40|Free transfer|€150k|€165k|0|+€165k
6.250 Seats|Hikvision arena|24|Free transfer|Free transfer|0|0|0
5.067 Seats|LFF stadionas|35|€12k|Free transfer|0|€12k|€-12k
6.250 Seats|Hikvision arena|41|Free transfer|€160k|€160k|0|+€160k
6.250 Seats|Hikvision arena|42|Free transfer|Free transfer|0|0|0
5.067 Seats|LFF stadionas|38|Free transfer|€52k|€52k|0|+€52k
6.250 Seats|Hikvision arena|40|Free transfer|Free transfer|0|0|0
5.067 Seats|LFF stadionas|43|€5k|€150k|€200k|€5k|+€195k
11.000 Seats|Bakcell Arena|24|Free transfer|Free transfer|0|0|0
31.200 Seats|Tofiq Bahramov Stadion|23|Free transfer|€250k|€250k|0|+€250k
4.500 Seats|Qabala City Stadium|12|Free transfer|Free transfer|0|0|0
11.000 Seats|Bakcell Arena|33|€75k|Free transfer|0|€75k|€-75k
31.200 Seats|Tofiq Bahramov Stadion|31|Free transfer|?|0|0|0
4.500 Seats|Qabala City Stadium|38|Free transfer|Free transfer|0|0|0
4.500 Seats|Qabala City Stadium|35|€300k|€200k|€200k|€300k|€-100k
11.000 Seats|Bakcell Arena|34|€158k|Free transfer|0|€158k|€-158k
31.200 Seats|Tofiq Bahramov Stadion|27|Free transfer|Free transfer|0|0|0
4.500 Seats|Qabala City Stadium|40|€500k|Free transfer|0|€500k|€-500k
31.200 Seats|Tofiq Bahramov Stadion|31|€1.28m|Free transfer|0|€1.28m|€-1.28m
11.000 Seats|Bakcell Arena|30|Free transfer|Free transfer|0|0|0
4.500 Seats|Qabala City Stadium|34|€450k|Free transfer|0|€1.33m|€-1.33m
11.000 Seats|Bakcell Arena|32|€200k|Free transfer|0|€200k|€-200k
31.200 Seats|Tofiq Bahramov Stadion|31|€680k|Free transfer|0|€680k|€-680k
4.500 Seats|Qabala City Stadium|38|€383k|Free transfer|0|€683k|€-683k
31.200 Seats|Tofiq Bahramov Stadion|31|€800k|Free transfer|0|€800k|€-800k
11.000 Seats|Bakcell Arena|34|?|Free transfer|0|0|0
4.500 Seats|Qabala City Stadium|35|Free transfer|Free transfer|0|0|0
31.200 Seats|Tofiq Bahramov Stadion|36|Free transfer|Free transfer|0|0|0
11.000 Seats|Bakcell Arena|33|Free transfer|Free transfer|0|0|0
31.200 Seats|Tofiq Bahramov Stadion|33|Free transfer|€500k|€500k|0|+€500k
4.500 Seats|Qabala City Stadium|37|€383k|Free transfer|0|€437k|€-437k
11.000 Seats|Bakcell Arena|45|€15k|€54k|€54k|€15k|+€39k
31.200 Seats|Tofiq Bahramov Stadion|41|€800k|€650k|€650k|€800k|€-150k
4.500 Seats|Qabala City Stadium|42|Free transfer|Free transfer|0|0|0
11.000 Seats|Bakcell Arena|38|Free transfer|Free transfer|0|0|0
31.200 Seats|Tofiq Bahramov Stadion|31|€1.00m|Free transfer|0|€1.17m|€-1.17m
11.000 Seats|Bakcell Arena|42|€50k|€130k|€130k|€50k|+€80k
4.500 Seats|Qabala City Stadium|34|€350k|Free transfer|0|€350k|€-350k
30.000 Seats|Astana Arena|24|€2.00m|€90k|€90k|€2.25m|€-2.16m
23.804 Seats|Zentralstadion Almaty|26|€1.00m|Free transfer|0|€1.73m|€-1.73m
8.050 Seats|Zentralstadion  Kostanay|23|€20k|Free transfer|0|€20k|€-20k
20.000 Seats|Kazhimukan Munaytpasov Stadion|26|€50k|Free transfer|0|€50k|€-50k
19.500 Seats|Zentralstadion Shakhter|23|Free transfer|Free transfer|0|0|0
11.828 Seats|Zentralstadion Pavlodar|23|€71k|Free transfer|0|€71k|€-71k
30.000 Seats|Astana Arena|24|€2.00m|€90k|€90k|€2.25m|€-2.16m
23.804 Seats|Zentralstadion Almaty|26|€1.00m|Free transfer|0|€1.73m|€-1.73m
8.050 Seats|Zentralstadion  Kostanay|23|€20k|Free transfer|0|€20k|€-20k
20.000 Seats|Kazhimukan Munaytpasov Stadion|26|€50k|Free transfer|0|€50k|€-50k
19.500 Seats|Zentralstadion Shakhter|23|Free transfer|Free transfer|0|0|0
11.828 Seats|Zentralstadion Pavlodar|23|€71k|Free transfer|0|€71k|€-71k
8.050 Seats|Zentralstadion  Kostanay|46|Free transfer|Free transfer|0|0|0
30.000 Seats|Astana Arena|28|€70k|€50k|€50k|€70k|€-20k
11.828 Seats|Zentralstadion Pavlodar|42|Free transfer|Free transfer|0|0|0
19.500 Seats|Zentralstadion Shakhter|36|Free transfer|Free transfer|0|0|0
23.804 Seats|Zentralstadion Almaty|36|Free transfer|Free transfer|0|0|0
20.000 Seats|Kazhimukan Munaytpasov Stadion|26|Free transfer|Free transfer|0|0|0
30.000 Seats|Astana Arena|28|€120k|Free transfer|0|€120k|€-120k
23.804 Seats|Zentralstadion Almaty|38|Free transfer|Free transfer|0|0|0
19.500 Seats|Zentralstadion Shakhter|54|Free transfer|Free transfer|0|0|0
8.050 Seats|Zentralstadion  Kostanay|30|Free transfer|Free transfer|0|0|0
20.000 Seats|Kazhimukan Munaytpasov Stadion|46|Free transfer|Free transfer|0|0|0
11.828 Seats|Zentralstadion Pavlodar|29|Free transfer|Free transfer|0|0|0
30.000 Seats|Astana Arena|43|€1.00m|Free transfer|0|€1.30m|€-1.30m
23.804 Seats|Zentralstadion Almaty|37|€200k|Free transfer|0|€300k|€-300k
19.500 Seats|Zentralstadion Shakhter|39|€400k|Free transfer|0|€400k|€-400k
11.828 Seats|Zentralstadion Pavlodar|42|Free transfer|Free transfer|0|0|0
8.050 Seats|Zentralstadion  Kostanay|29|€20k|Free transfer|0|€20k|€-20k
20.000 Seats|Kazhimukan Munaytpasov Stadion|29|Free transfer|Free transfer|0|0|0
30.000 Seats|Astana Arena|40|€2.00m|Free transfer|0|€2.40m|€-2.40m
23.804 Seats|Zentralstadion Almaty|38|€550k|Free transfer|0|€550k|€-550k
8.050 Seats|Zentralstadion  Kostanay|34|€60k|Free transfer|0|€60k|€-60k
19.500 Seats|Zentralstadion Shakhter|46|Free transfer|Free transfer|0|0|0
11.828 Seats|Zentralstadion Pavlodar|38|Free transfer|Free transfer|0|0|0
20.000 Seats|Kazhimukan Munaytpasov Stadion|26|Free transfer|Free transfer|0|0|0
30.000 Seats|Astana Arena|49|€180k|Free transfer|0|€180k|€-180k
23.804 Seats|Zentralstadion Almaty|40|Free transfer|€380k|€380k|0|+€380k
20.000 Seats|Kazhimukan Munaytpasov Stadion|39|Free transfer|Free transfer|0|0|0
8.050 Seats|Zentralstadion  Kostanay|33|Free transfer|Free transfer|0|0|0
11.828 Seats|Zentralstadion Pavlodar|34|Free transfer|Free transfer|0|0|0
19.500 Seats|Zentralstadion Shakhter|33|Free transfer|Free transfer|0|0|0
23.804 Seats|Zentralstadion Almaty|42|€1.00m|Free transfer|0|€1.96m|€-1.96m
30.000 Seats|Astana Arena|41|Free transfer|Free transfer|0|0|0
20.000 Seats|Kazhimukan Munaytpasov Stadion|43|€47k|€450k|€450k|€47k|+€403k
8.050 Seats|Zentralstadion  Kostanay|35|Free transfer|Free transfer|0|0|0
11.828 Seats|Zentralstadion Pavlodar|33|Free transfer|Free transfer|0|0|0
19.500 Seats|Zentralstadion Shakhter|37|Free transfer|Free transfer|0|0|0
30.000 Seats|Astana Arena|46|€700k|€2.00m|€2.00m|€846k|+€1.15m
23.804 Seats|Zentralstadion Almaty|44|Free transfer|Free transfer|0|0|0
20.000 Seats|Kazhimukan Munaytpasov Stadion|41|Free transfer|Free transfer|0|0|0
11.828 Seats|Zentralstadion Pavlodar|46|Free transfer|Free transfer|0|0|0
8.050 Seats|Zentralstadion  Kostanay|29|Free transfer|Free transfer|0|0|0
19.500 Seats|Zentralstadion Shakhter|33|Free transfer|Free transfer|0|0|0
30.000 Seats|Astana Arena|40|€1.50m|€3.00m|€3.12m|€2.75m|+€365k
23.804 Seats|Zentralstadion Almaty|42|€870k|Free transfer|0|€1.82m|€-1.82m
8.050 Seats|Zentralstadion  Kostanay|40|€100k|Free transfer|0|€100k|€-100k
11.828 Seats|Zentralstadion Pavlodar|50|Free transfer|Free transfer|0|0|0
20.000 Seats|Kazhimukan Munaytpasov Stadion|28|€400k|€870k|€1.12m|€400k|+€720k
19.500 Seats|Zentralstadion Shakhter|32|Free transfer|Free transfer|0|0|0
